id;address;city;country;postal_code
1;Solutions;East Finnton;San Marino;Nebraska Automotive
2;Wooden black;Levittown;Norfolk Island;lavender array
3;analyzer;Deerfield Beach;Cayman Islands;Account
4;24/7;Port Norris;Central African Republic;static
5;calculating niches;Hellertown;Trinidad and Tobago;Regional navigating User-centric
6;one-to-one;Gordonbury;Faroe Islands;Handmade Idaho
7;TCP Fantastic array;Arcadia;Brunei Darussalam;Buckinghamshire
8;Cambridgeshire Hat;Ashburn;Armenia;infrastructures contingency Seychelles
9;Manager bandwidth;North Dominique;Guernsey;Mayotte
10;Games bypassing Shoes;Sporerfurt;France;algorithm mobile
